#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image
001,1479168942.2670965,9.4,25.44,20485912682.669235,9.4,25.44,fb23649e-1e8b-4301-9dc7-e760d0960687
002,1479169013.5863853,9.4,24.44,20485615533.119995,9.4,24.44,57e644eb-73ac-4fa7-856d-a2dabaac5958
003,1479169084.9390132,9.4,23.44,20487242088.026474,9.4,23.44,b3c657c9-ad77-40fa-8c48-e8422898f812
004,1479169156.4558601,9.4,22.44,20484885477.162323,9.4,22.44,58c41b2b-284c-487d-87c1-862b92614fb0
005,1479169227.641954,9.4,21.44,20486896378.89325,9.4,21.44,86587a51-c404-4329-9e0d-dff434ba9266
006,1479169299.2180712,9.4,20.44,20486474436.184494,9.4,20.44,842f94b2-362f-47ab-b064-830264b25cf1
007,1479169370.1497047,9.4,19.44,20487101265.009155,9.4,19.44,4f19c079-04c3-4d5d-a597-a4c60b235940
008,1479169441.5314999,9.4,18.44,20485919768.597717,9.4,18.44,fc00fa82-30e3-44d4-8d72-25113bc35f45
009,1479169504.5198936,8.4,18.44,20487005510.72267,8.4,18.44,6734fdd5-7fdd-4264-b507-54400f54cff1
010,1479169576.276181,8.4,19.44,20486740093.849228,8.4,19.44,2dd56ecd-99e8-4cb0-b24a-c50ba6d69e0e
011,1479169647.5301826,8.4,20.44,20487779365.801422,8.4,20.44,7cb618bc-639f-4119-9e6d-1edd138f7e1b
012,1479169719.006172,8.4,21.44,20487135810.38893,8.4,21.44,85c46601-59ef-4815-b24d-afdf1d8ef5b7
013,1479169790.3432777,8.4,22.44,20485247284.64888,8.4,22.44,d9fcb943-60c4-404d-98b3-bdb87ddf8f55
014,1479169861.737217,8.4,23.44,20486307488.09056,8.4,23.44,536b1714-744c-4e24-9a51-1dfe59523acf
015,1479169933.1368294,8.4,24.44,20486602930.043823,8.4,24.44,687e6bdd-b753-495f-ae00-4bb1ef62d959
016,1479170004.5134516,8.4,25.44,20486336963.398956,8.4,25.44,bc66601a-e7e2-4804-9baf-29cb00507ad8
017,1479170067.559903,7.4,25.44,20485891640.485703,7.4,25.44,1cb3564b-e357-4871-9084-68a8088e5ebd
018,1479170139.0050027,7.4,24.44,20487321307.547165,7.4,24.44,3df4f547-f69a-4ad0-817a-fccf6bf7f55a
