,Unnamed: 0,#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image,filename
0,0,1,1479168942.2670965,9.4,25.44,20485912682.66924,9.4,25.44,fb23649e-1e8b-4301-9dc7-e760d0960687,Catalyst_Array_DenseMap_075785_0001.chi
1,1,2,1479169013.5863853,9.4,24.44,20485615533.119995,9.4,24.44,57e644eb-73ac-4fa7-856d-a2dabaac5958,Catalyst_Array_DenseMap_075785_0002.chi
2,2,3,1479169084.9390132,9.4,23.44,20487242088.026474,9.4,23.44,b3c657c9-ad77-40fa-8c48-e8422898f812,Catalyst_Array_DenseMap_075785_0003.chi
3,3,4,1479169156.45586,9.4,22.44,20484885477.162327,9.4,22.44,58c41b2b-284c-487d-87c1-862b92614fb0,Catalyst_Array_DenseMap_075785_0004.chi
4,4,5,1479169227.641954,9.4,21.44,20486896378.89325,9.4,21.44,86587a51-c404-4329-9e0d-dff434ba9266,Catalyst_Array_DenseMap_075785_0005.chi
5,5,6,1479169299.2180712,9.4,20.44,20486474436.18449,9.4,20.44,842f94b2-362f-47ab-b064-830264b25cf1,Catalyst_Array_DenseMap_075785_0006.chi
6,6,7,1479169370.1497047,9.4,19.44,20487101265.009155,9.4,19.44,4f19c079-04c3-4d5d-a597-a4c60b235940,Catalyst_Array_DenseMap_075785_0007.chi
7,7,8,1479169441.5315,9.4,18.44,20485919768.597717,9.4,18.44,fc00fa82-30e3-44d4-8d72-25113bc35f45,Catalyst_Array_DenseMap_075785_0008.chi
8,8,9,1479169504.5198936,8.4,18.44,20487005510.722668,8.4,18.44,6734fdd5-7fdd-4264-b507-54400f54cff1,Catalyst_Array_DenseMap_075785_0009.chi
9,9,10,1479169576.276181,8.4,19.44,20486740093.849228,8.4,19.44,2dd56ecd-99e8-4cb0-b24a-c50ba6d69e0e,Catalyst_Array_DenseMap_075785_0010.chi
10,10,11,1479169647.5301824,8.4,20.44,20487779365.801426,8.4,20.44,7cb618bc-639f-4119-9e6d-1edd138f7e1b,Catalyst_Array_DenseMap_075785_0011.chi
11,11,12,1479169719.0061722,8.4,21.44,20487135810.38893,8.4,21.44,85c46601-59ef-4815-b24d-afdf1d8ef5b7,Catalyst_Array_DenseMap_075785_0012.chi
12,12,13,1479169790.3432775,8.4,22.44,20485247284.64888,8.4,22.44,d9fcb943-60c4-404d-98b3-bdb87ddf8f55,Catalyst_Array_DenseMap_075785_0013.chi
13,13,14,1479169861.737217,8.4,23.44,20486307488.09056,8.4,23.44,536b1714-744c-4e24-9a51-1dfe59523acf,Catalyst_Array_DenseMap_075785_0014.chi
14,14,15,1479169933.1368294,8.4,24.44,20486602930.043823,8.4,24.44,687e6bdd-b753-495f-ae00-4bb1ef62d959,Catalyst_Array_DenseMap_075785_0015.chi
